Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 10:21:57,2020-03-19 10:23:18,1m - 20.480s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:21:58,2020-03-19 10:22:11,12.917s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:21:58,2020-03-19 10:22:02,3.776s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 10:22:02,2020-03-19 10:22:10,7.658s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 10:22:10,2020-03-19 10:22:11,0.926s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 10:22:11,2020-03-19 10:23:18,1m - 6.966s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 10:22:11,2020-03-19 10:22:11,0.017s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 10:22:11,2020-03-19 10:22:11,0.002s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 10:22:11,2020-03-19 10:22:11,0.001s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 10:22:11,2020-03-19 10:22:16,4.627s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 10:22:16,2020-03-19 10:22:49,32.655s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 10:22:49,2020-03-19 10:22:54,5.855s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 10:22:54,2020-03-19 10:22:54,0.014s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 10:22:54,2020-03-19 10:22:54,0.009s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 10:22:54,2020-03-19 10:22:54,0.003s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 10:22:54,2020-03-19 10:23:17,22.649s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-19 10:23:17,2020-03-19 10:23:18,0.424s,PASSED
