Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 10:27:12,2020-03-19 10:28:14,1m - 1.553s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:27:13,2020-03-19 10:27:25,11.765s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:27:13,2020-03-19 10:27:17,3.908s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 10:27:17,2020-03-19 10:27:24,6.549s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 10:27:24,2020-03-19 10:27:25,0.815s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 10:27:25,2020-03-19 10:28:14,49.285s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 10:27:25,2020-03-19 10:27:25,0.013s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 10:27:25,2020-03-19 10:27:25,0.004s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 10:27:25,2020-03-19 10:27:25,0.002s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 10:27:25,2020-03-19 10:27:31,6.007s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 10:27:31,2020-03-19 10:27:31,0.010s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 10:27:31,2020-03-19 10:27:38,6.738s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 10:27:38,2020-03-19 10:27:38,0.013s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 10:27:38,2020-03-19 10:27:38,0.027s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 10:27:38,2020-03-19 10:27:38,0.015s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 10:27:38,2020-03-19 10:28:14,35.447s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-19 10:28:14,2020-03-19 10:28:14,0.348s,PASSED
