Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 10:17:37,2020-03-19 10:19:36,1m - 59.248s,FAILED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:17:37,2020-03-19 10:17:51,13.400s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:17:38,2020-03-19 10:17:42,4.086s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 10:17:42,2020-03-19 10:17:50,8.446s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 10:17:50,2020-03-19 10:17:51,0.386s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 10:17:51,2020-03-19 10:19:36,1m - 45.260s,FAILED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 10:17:51,2020-03-19 10:17:51,0.006s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 10:17:51,2020-03-19 10:17:51,0.007s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 10:17:51,2020-03-19 10:17:51,0.002s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 10:17:51,2020-03-19 10:17:56,4.770s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 10:17:56,2020-03-19 10:18:29,32.746s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 10:18:29,2020-03-19 10:18:34,4.914s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 10:18:34,2020-03-19 10:18:34,0.018s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 10:18:34,2020-03-19 10:18:34,0.005s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 10:18:34,2020-03-19 10:18:34,0.002s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 10:18:34,2020-03-19 10:19:36,1m - 2.091s,FAILED
