Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 14:23:37,2020-03-19 14:28:33,4m - 56.438s,FAILED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:23:37,2020-03-19 14:23:50,12.125s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:23:38,2020-03-19 14:23:42,3.878s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 14:23:42,2020-03-19 14:23:49,7.063s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 14:23:49,2020-03-19 14:23:50,0.710s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 14:23:50,2020-03-19 14:24:19,29.497s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 14:23:50,2020-03-19 14:23:50,0.011s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 14:23:50,2020-03-19 14:23:50,0.003s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 14:23:50,2020-03-19 14:23:50,0.001s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 14:23:50,2020-03-19 14:23:56,5.207s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 14:23:56,2020-03-19 14:23:56,0.002s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 14:23:56,2020-03-19 14:24:01,5.344s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 14:24:01,2020-03-19 14:24:01,0.026s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 14:24:01,2020-03-19 14:24:01,0.015s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 14:24:01,2020-03-19 14:24:01,0.005s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 14:24:01,2020-03-19 14:24:19,17.715s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-19 14:24:19,2020-03-19 14:24:19,0.340s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:24:19,2020-03-19 14:24:28,9.227s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:24:19,2020-03-19 14:24:21,1.942s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 14:24:21,2020-03-19 14:24:28,6.525s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 14:24:28,2020-03-19 14:24:28,0.740s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Question - Yes - No - TryItFree,Chrome 80.0.3987.149,Question - Yes - No - TryItFree,,2020-03-19 14:24:28,2020-03-19 14:24:53,24.706s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 14:24:29,2020-03-19 14:24:29,0.006s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 14:24:29,2020-03-19 14:24:29,0.001s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 14:24:29,2020-03-19 14:24:29,0.001s,NOT_RUN
