Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 15:07:26,2020-03-19 15:08:38,1m - 11.830s,FAILED
,,,,,,,
Test Cases/TD2/General/Opening Signup Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 15:07:27,2020-03-19 15:07:47,19.959s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 15:07:28,2020-03-19 15:07:38,9.325s,PASSED
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 15:07:38,2020-03-19 15:07:47,9.155s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 15:07:47,2020-03-19 15:07:47,0.308s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Select how to start the free account/Invite My Team/OnBoarding - Visible,Chrome 80.0.3987.149,Invite My Team - Visible Option Selected,,2020-03-19 15:07:47,2020-03-19 15:08:38,51.024s,FAILED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 15:07:49,2020-03-19 15:07:49,0.008s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 15:07:49,2020-03-19 15:07:49,0.009s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 15:07:49,2020-03-19 15:07:49,0.003s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,,,2020-03-19 15:07:49,2020-03-19 15:07:49,0.004s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149,,,2020-03-19 15:07:49,2020-03-19 15:07:54,5.394s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 15:07:54,2020-03-19 15:07:54,0.015s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 15:07:54,2020-03-19 15:07:54,0.007s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 15:07:54,2020-03-19 15:07:54,0.004s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 15:07:54,2020-03-19 15:08:38,43.894s,FAILED
