Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-18 18:48:43,2020-03-18 18:54:19,5m - 35.550s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-18 18:48:44,2020-03-18 18:49:02,18.309s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-18 18:48:45,2020-03-18 18:48:52,6.947s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-18 18:48:52,2020-03-18 18:49:02,10.430s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-18 18:49:02,2020-03-18 18:49:02,0.349s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-18 18:49:02,2020-03-18 18:50:29,1m - 26.701s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-18 18:49:03,2020-03-18 18:49:03,0.032s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-18 18:49:03,2020-03-18 18:49:03,0.002s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-18 18:49:03,2020-03-18 18:49:03,0.002s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-18 18:49:03,2020-03-18 18:49:23,19.435s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-18 18:49:23,2020-03-18 18:49:57,34.882s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-18 18:49:57,2020-03-18 18:50:10,12.861s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-18 18:50:10,2020-03-18 18:50:10,0.040s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-18 18:50:10,2020-03-18 18:50:10,0.017s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-18 18:50:10,2020-03-18 18:50:10,0.002s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-18 18:50:10,2020-03-18 18:50:29,18.214s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-18 18:50:29,2020-03-18 18:50:29,0.435s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-18 18:50:29,2020-03-18 18:50:39,10.121s,PASSED
