Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 15:09:41,2020-03-19 15:11:32,1m - 51.389s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Signup Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 15:09:42,2020-03-19 15:10:02,20.369s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 15:09:43,2020-03-19 15:09:52,9.366s,PASSED
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 15:09:52,2020-03-19 15:10:02,9.485s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 15:10:02,2020-03-19 15:10:02,0.351s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/SignUP - Negative Testing,Chrome 80.0.3987.149,Sign Up - Negative Testing,,2020-03-19 15:10:02,2020-03-19 15:11:32,1m - 29.762s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 15:10:05,2020-03-19 15:10:05,0.008s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 15:10:05,2020-03-19 15:10:05,0.003s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 15:10:05,2020-03-19 15:10:05,0.004s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 15:10:05,2020-03-19 15:10:05,0.002s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 15:10:05,2020-03-19 15:10:05,0.002s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 15:10:05,2020-03-19 15:10:48,43.530s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 15:10:48,2020-03-19 15:10:48,0.012s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 15:10:48,2020-03-19 15:10:48,0.006s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 15:10:48,2020-03-19 15:10:48,0.002s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 15:10:48,2020-03-19 15:11:31,42.875s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-19 15:11:31,2020-03-19 15:11:32,0.842s,PASSED
