Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 14:51:47,2020-03-19 14:52:39,52.499s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:51:48,2020-03-19 14:52:06,18.551s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:51:48,2020-03-19 14:51:55,7.049s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 14:51:55,2020-03-19 14:52:05,10.114s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 14:52:05,2020-03-19 14:52:06,0.678s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 14:52:06,2020-03-19 14:52:39,33.192s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 14:52:07,2020-03-19 14:52:07,0.007s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 14:52:07,2020-03-19 14:52:07,0.009s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 14:52:07,2020-03-19 14:52:07,0.005s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 14:52:07,2020-03-19 14:52:13,5.610s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 14:52:13,2020-03-19 14:52:13,0.002s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 14:52:13,2020-03-19 14:52:19,5.995s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 14:52:19,2020-03-19 14:52:19,0.042s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 14:52:19,2020-03-19 14:52:19,0.008s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 14:52:19,2020-03-19 14:52:19,0.005s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 14:52:19,2020-03-19 14:52:39,19.791s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-19 14:52:39,2020-03-19 14:52:39,0.418s,PASSED
