Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 14:43:36,2020-03-19 14:45:29,1m - 52.302s,FAILED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:43:38,2020-03-19 14:44:09,31.595s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 14:43:39,2020-03-19 14:43:52,12.226s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 14:43:52,2020-03-19 14:44:08,16.768s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 14:44:08,2020-03-19 14:44:09,0.895s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 14:44:09,2020-03-19 14:45:29,1m - 19.232s,FAILED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 14:44:11,2020-03-19 14:44:11,0.010s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 14:44:11,2020-03-19 14:44:11,0.011s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 14:44:11,2020-03-19 14:44:11,0.068s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 14:44:11,2020-03-19 14:44:22,10.641s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 14:44:22,2020-03-19 14:44:22,0.005s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 14:44:22,2020-03-19 14:44:30,8.479s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 14:44:30,2020-03-19 14:44:30,0.042s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 14:44:30,2020-03-19 14:44:30,0.093s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 14:44:30,2020-03-19 14:44:30,0.009s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 14:44:30,2020-03-19 14:45:29,58.108s,FAILED
