Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 15:04:15,2020-03-19 15:06:03,1m - 48.691s,FAILED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 15:04:16,2020-03-19 15:04:40,24.108s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 15:04:17,2020-03-19 15:04:26,9.101s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 15:04:26,2020-03-19 15:04:40,13.470s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 15:04:40,2020-03-19 15:04:40,0.421s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Question - No - No - TryItFree,Chrome 80.0.3987.149,Question - No - No - TryItFree,,2020-03-19 15:04:40,2020-03-19 15:06:03,1m - 23.299s,FAILED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 15:04:42,2020-03-19 15:04:42,0.018s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 15:04:42,2020-03-19 15:04:42,0.014s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 15:04:42,2020-03-19 15:04:42,0.002s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 15:04:42,2020-03-19 15:04:51,8.554s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 15:04:51,2020-03-19 15:04:51,0.003s,NOT_RUN
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 15:04:51,2020-03-19 15:04:57,6.591s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 15:04:57,2020-03-19 15:04:57,0.033s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 15:04:57,2020-03-19 15:04:57,0.045s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 15:04:57,2020-03-19 15:04:58,0.050s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 15:04:58,2020-03-19 15:06:03,1m - 5.887s,FAILED
