Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Selecting How to Start the Free Account - Visible and Silent,Chrome 80.0.3987.149,,,2020-03-19 10:24:22,2020-03-19 10:26:24,2m - 2.104s,PASSED
,,,,,,,
Test Cases/TD2/General/Opening Browser,Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:24:23,2020-03-19 10:24:35,12.869s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,Opening Browser,,2020-03-19 10:24:23,2020-03-19 10:24:27,3.854s,PASSED
"navigateToUrl(""https://2a.timedoctor.com"")",Chrome 80.0.3987.149,Navigating to TD2 login Page,,2020-03-19 10:24:27,2020-03-19 10:24:35,7.594s,PASSED
maximizeWindow(),Chrome 80.0.3987.149,Maximizing Window,,2020-03-19 10:24:35,2020-03-19 10:24:35,0.957s,PASSED
,,,,,,,
Test Cases/TD2/Signup and OnBoarding/Registration With Different Options for Questions Asked/Questions - Yes - Yes - Yes,Chrome 80.0.3987.149,Questions - Yes - Yes - Yes,,2020-03-19 10:24:36,2020-03-19 10:26:24,1m - 48.705s,PASSED
"openBrowser("""")",Chrome 80.0.3987.149,,,2020-03-19 10:24:36,2020-03-19 10:24:36,0.007s,NOT_RUN
maximizeWindow(),Chrome 80.0.3987.149,,,2020-03-19 10:24:36,2020-03-19 10:24:36,0.003s,NOT_RUN
"navigateToUrl(""www.timedoctor.com"")",Chrome 80.0.3987.149,,,2020-03-19 10:24:36,2020-03-19 10:24:36,0.002s,NOT_RUN
"click(findTestObject(""TD2/Registration and Onboarding/Page_Registration/Register Button""))",Chrome 80.0.3987.149,,,2020-03-19 10:24:36,2020-03-19 10:24:42,5.841s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/WebsiteVersion""), 10, OPTIONAL))",Chrome 80.0.3987.149,Switching from TDC to TD2,,2020-03-19 10:24:42,2020-03-19 10:25:15,33.044s,PASSED
"if (verifyElementPresent(findTestObject(""TD2/Registration and Onboarding/Page_Registration/ButtonYes""), 10, OPTIONAL))",Chrome 80.0.3987.149, Handing the questions with Yes Yes Yes options,,2020-03-19 10:25:15,2020-03-19 10:25:20,5.199s,PASSED
nowDateTime = new java.text.SimpleDateFormat(yyMMddHHmmss),Chrome 80.0.3987.149,,,2020-03-19 10:25:20,2020-03-19 10:25:20,0.017s,PASSED
now = new java.util.Date(),Chrome 80.0.3987.149,,,2020-03-19 10:25:20,2020-03-19 10:25:20,0.005s,PASSED
strDate = nowDateTime.format(now),Chrome 80.0.3987.149,,,2020-03-19 10:25:20,2020-03-19 10:25:20,0.001s,PASSED
return strDate,Chrome 80.0.3987.149,,,2020-03-19 10:25:20,2020-03-19 10:26:24,1m - 3.451s,PASSED
closeBrowser(),Chrome 80.0.3987.149,Close the Browser,,2020-03-19 10:26:24,2020-03-19 10:26:24,0.428s,PASSED
